map_id,split,pair_id,source_pair_id,obstacle_count,causal_obstacle_count,first_reference_collision_step,control_oracle_steps,conflict_oracle_steps
irregular_workcell_91701,test,pair_025_n3_001,pair_025,3,1,21,66,66
irregular_workcell_91701,test,pair_025_n5_001,pair_025,5,2,21,66,66
irregular_workcell_91701,test,pair_025_n7_001,pair_025,7,2,21,66,66
irregular_workcell_91701,test,pair_026_n1_002,pair_026,1,1,2,66,66
irregular_workcell_91701,test,pair_026_n3_002,pair_026,3,1,2,66,66
irregular_workcell_91701,test,pair_026_n5_002,pair_026,5,2,2,66,66
irregular_workcell_91701,test,pair_026_n7_002,pair_026,7,2,2,66,66
irregular_workcell_91701,test,pair_027_n1_003,pair_027,1,1,16,66,66
irregular_workcell_91701,test,pair_027_n3_003,pair_027,3,1,16,66,66
irregular_workcell_91701,test,pair_027_n5_003,pair_027,5,2,16,66,66
irregular_workcell_91701,test,pair_027_n7_003,pair_027,7,2,16,66,66
irregular_workcell_91701,test,pair_028_n1_004,pair_028,1,1,41,66,66
irregular_workcell_91701,test,pair_028_n3_004,pair_028,3,1,41,66,66
irregular_workcell_91701,test,pair_028_n5_004,pair_028,5,2,2,66,66
irregular_workcell_91701,test,pair_028_n7_004,pair_028,7,2,2,66,66
irregular_workcell_91701,test,pair_029_n1_005,pair_029,1,1,31,66,66
irregular_workcell_91701,test,pair_029_n3_005,pair_029,3,1,31,66,66
irregular_workcell_91701,test,pair_029_n5_005,pair_029,5,2,31,66,66
irregular_workcell_91701,test,pair_029_n7_005,pair_029,7,2,31,66,66
irregular_workcell_91701,test,pair_030_n1_006,pair_030,1,1,26,66,66
irregular_workcell_91701,test,pair_030_n3_006,pair_030,3,1,26,66,66
irregular_workcell_91701,test,pair_030_n5_006,pair_030,5,2,26,66,66
irregular_workcell_91701,test,pair_030_n7_006,pair_030,7,2,26,66,66
irregular_workcell_91701,test,pair_031_n1_007,pair_031,1,1,36,66,66
irregular_workcell_91701,test,pair_031_n3_007,pair_031,3,1,36,66,66
irregular_workcell_91701,test,pair_031_n5_007,pair_031,5,2,2,66,66
irregular_workcell_91701,test,pair_031_n7_007,pair_031,7,2,2,66,66
irregular_workcell_91701,test,pair_032_n1_008,pair_032,1,1,64,66,66
irregular_workcell_91701,test,pair_032_n3_008,pair_032,3,1,64,66,66
irregular_workcell_91701,test,pair_032_n5_008,pair_032,5,2,2,66,66
irregular_workcell_91701,test,pair_032_n7_008,pair_032,7,2,2,66,66
irregular_workcell_91701,test,pair_033_n1_009,pair_033,1,1,50,66,66
irregular_workcell_91701,test,pair_033_n3_009,pair_033,3,1,50,66,66
irregular_workcell_91701,test,pair_033_n5_009,pair_033,5,2,2,66,66
irregular_workcell_91701,test,pair_033_n7_009,pair_033,7,2,2,66,66
irregular_workcell_91701,test,pair_034_n1_010,pair_034,1,1,57,66,66
irregular_workcell_91701,test,pair_034_n3_010,pair_034,3,1,57,66,66
irregular_workcell_91701,test,pair_034_n5_010,pair_034,5,2,2,66,66
irregular_workcell_91701,test,pair_034_n7_010,pair_034,7,2,2,66,66
irregular_workcell_91701,test,pair_035_n1_011,pair_035,1,1,47,66,66
irregular_workcell_91701,test,pair_035_n3_011,pair_035,3,1,47,66,66
irregular_workcell_91701,test,pair_035_n5_011,pair_035,5,2,2,66,66
irregular_workcell_91701,test,pair_035_n7_011,pair_035,7,2,2,66,66
irregular_workcell_91702,train,pair_000_n3_000,pair_000,3,1,11,66,66
irregular_workcell_91702,train,pair_000_n5_000,pair_000,5,2,11,66,66
irregular_workcell_91702,train,pair_001_n3_001,pair_001,3,1,21,66,66
irregular_workcell_91702,train,pair_001_n5_001,pair_001,5,2,21,66,66
irregular_workcell_91702,train,pair_002_n3_002,pair_002,3,1,2,66,66
irregular_workcell_91702,train,pair_002_n5_002,pair_002,5,2,2,66,66
irregular_workcell_91702,train,pair_003_n3_003,pair_003,3,1,17,66,66
irregular_workcell_91702,train,pair_003_n5_003,pair_003,5,2,17,66,66
irregular_workcell_91702,train,pair_004_n3_004,pair_004,3,1,14,66,66
irregular_workcell_91702,train,pair_004_n5_004,pair_004,5,2,14,66,66
irregular_workcell_91702,train,pair_005_n3_005,pair_005,3,1,4,66,66
irregular_workcell_91702,train,pair_005_n5_005,pair_005,5,2,4,66,66
irregular_workcell_91702,train,pair_006_n3_006,pair_006,3,1,38,66,66
irregular_workcell_91702,train,pair_006_n5_006,pair_006,5,2,2,66,66
irregular_workcell_91702,train,pair_007_n3_007,pair_007,3,1,32,66,66
irregular_workcell_91702,train,pair_007_n5_007,pair_007,5,2,32,66,66
irregular_workcell_91702,train,pair_008_n3_008,pair_008,3,1,24,66,66
irregular_workcell_91702,train,pair_008_n5_008,pair_008,5,2,24,66,66
irregular_workcell_91702,train,pair_009_n3_009,pair_009,3,1,35,66,66
irregular_workcell_91702,train,pair_009_n5_009,pair_009,5,2,2,66,66
irregular_workcell_91702,train,pair_010_n3_010,pair_010,3,1,22,66,66
irregular_workcell_91702,train,pair_010_n5_010,pair_010,5,2,22,66,66
irregular_workcell_91702,train,pair_011_n3_011,pair_011,3,1,23,66,66
irregular_workcell_91702,train,pair_011_n5_011,pair_011,5,2,23,66,66
irregular_workcell_91702,train,pair_012_n3_012,pair_012,3,1,64,66,66
irregular_workcell_91702,train,pair_012_n5_012,pair_012,5,2,2,66,66
irregular_workcell_91702,train,pair_013_n3_013,pair_013,3,1,51,66,66
irregular_workcell_91702,train,pair_013_n5_013,pair_013,5,2,2,66,66
irregular_workcell_91702,train,pair_014_n3_014,pair_014,3,1,45,66,66
irregular_workcell_91702,train,pair_014_n5_014,pair_014,5,2,2,66,66
irregular_workcell_91702,train,pair_015_n3_015,pair_015,3,1,57,66,66
irregular_workcell_91702,train,pair_015_n5_015,pair_015,5,2,2,66,66
irregular_workcell_91702,train,pair_016_n3_016,pair_016,3,1,54,66,66
irregular_workcell_91702,train,pair_016_n5_016,pair_016,5,2,2,66,66
irregular_workcell_91702,train,pair_017_n3_017,pair_017,3,1,60,66,66
irregular_workcell_91702,train,pair_017_n5_017,pair_017,5,2,2,66,66
irregular_workcell_91702,validation,pair_018_n3_000,pair_018,3,1,11,66,66
irregular_workcell_91702,validation,pair_018_n5_000,pair_018,5,2,11,66,66
irregular_workcell_91702,validation,pair_019_n3_001,pair_019,3,1,21,66,66
irregular_workcell_91702,validation,pair_019_n5_001,pair_019,5,2,21,66,66
irregular_workcell_91702,validation,pair_020_n3_002,pair_020,3,1,38,66,66
irregular_workcell_91702,validation,pair_020_n5_002,pair_020,5,2,11,66,66
irregular_workcell_91702,validation,pair_021_n3_003,pair_021,3,1,24,66,66
irregular_workcell_91702,validation,pair_021_n5_003,pair_021,5,2,24,66,66
irregular_workcell_91702,validation,pair_022_n3_004,pair_022,3,1,64,66,66
irregular_workcell_91702,validation,pair_022_n5_004,pair_022,5,2,11,66,66
irregular_workcell_91702,validation,pair_023_n3_005,pair_023,3,1,51,66,66
irregular_workcell_91702,validation,pair_023_n5_005,pair_023,5,2,11,66,66
irregular_workcell_91702,test,pair_024_n1_000,pair_024,1,1,11,66,66
irregular_workcell_91702,test,pair_024_n3_000,pair_024,3,1,11,66,66
irregular_workcell_91702,test,pair_024_n5_000,pair_024,5,2,11,66,66
irregular_workcell_91702,test,pair_024_n7_000,pair_024,7,2,11,66,66
irregular_workcell_91702,test,pair_025_n1_001,pair_025,1,1,21,66,66
irregular_workcell_91702,test,pair_025_n3_001,pair_025,3,1,21,66,66
irregular_workcell_91702,test,pair_025_n5_001,pair_025,5,2,21,66,66
irregular_workcell_91702,test,pair_025_n7_001,pair_025,7,2,21,66,66
irregular_workcell_91702,test,pair_026_n1_002,pair_026,1,1,2,66,66
irregular_workcell_91702,test,pair_026_n3_002,pair_026,3,1,2,66,66
irregular_workcell_91702,test,pair_026_n5_002,pair_026,5,2,2,66,66
irregular_workcell_91702,test,pair_026_n7_002,pair_026,7,2,2,66,66
irregular_workcell_91702,test,pair_027_n1_003,pair_027,1,1,17,66,66
irregular_workcell_91702,test,pair_027_n3_003,pair_027,3,1,17,66,66
irregular_workcell_91702,test,pair_027_n5_003,pair_027,5,2,17,66,66
irregular_workcell_91702,test,pair_027_n7_003,pair_027,7,2,17,66,66
irregular_workcell_91702,test,pair_028_n1_004,pair_028,1,1,38,66,66
irregular_workcell_91702,test,pair_028_n3_004,pair_028,3,1,38,66,66
irregular_workcell_91702,test,pair_028_n5_004,pair_028,5,2,2,66,66
irregular_workcell_91702,test,pair_028_n7_004,pair_028,7,2,2,66,66
irregular_workcell_91702,test,pair_029_n1_005,pair_029,1,1,32,66,66
irregular_workcell_91702,test,pair_029_n3_005,pair_029,3,1,32,66,66
irregular_workcell_91702,test,pair_029_n5_005,pair_029,5,2,32,66,66
irregular_workcell_91702,test,pair_029_n7_005,pair_029,7,2,32,66,66
irregular_workcell_91702,test,pair_030_n1_006,pair_030,1,1,24,66,66
irregular_workcell_91702,test,pair_030_n3_006,pair_030,3,1,24,66,66
irregular_workcell_91702,test,pair_030_n5_006,pair_030,5,2,24,66,66
irregular_workcell_91702,test,pair_030_n7_006,pair_030,7,2,24,66,66
irregular_workcell_91702,test,pair_031_n1_007,pair_031,1,1,35,66,66
irregular_workcell_91702,test,pair_031_n3_007,pair_031,3,1,35,66,66
irregular_workcell_91702,test,pair_031_n5_007,pair_031,5,2,2,66,66
irregular_workcell_91702,test,pair_031_n7_007,pair_031,7,2,2,66,66
irregular_workcell_91702,test,pair_032_n1_008,pair_032,1,1,64,66,66
irregular_workcell_91702,test,pair_032_n3_008,pair_032,3,1,64,66,66
irregular_workcell_91702,test,pair_032_n5_008,pair_032,5,2,2,66,66
irregular_workcell_91702,test,pair_032_n7_008,pair_032,7,2,2,66,66
irregular_workcell_91702,test,pair_033_n1_009,pair_033,1,1,51,66,66
irregular_workcell_91702,test,pair_033_n3_009,pair_033,3,1,51,66,66
irregular_workcell_91702,test,pair_033_n5_009,pair_033,5,2,2,66,66
irregular_workcell_91702,test,pair_033_n7_009,pair_033,7,2,2,66,66
irregular_workcell_91702,test,pair_034_n1_010,pair_034,1,1,45,66,66
irregular_workcell_91702,test,pair_034_n3_010,pair_034,3,1,45,66,66
irregular_workcell_91702,test,pair_034_n5_010,pair_034,5,2,2,66,66
irregular_workcell_91702,test,pair_034_n7_010,pair_034,7,2,2,66,66
irregular_workcell_91702,test,pair_035_n1_011,pair_035,1,1,57,66,66
irregular_workcell_91702,test,pair_035_n3_011,pair_035,3,1,57,66,66
irregular_workcell_91702,test,pair_035_n5_011,pair_035,5,2,2,66,66
irregular_workcell_91702,test,pair_035_n7_011,pair_035,7,2,2,66,66
irregular_workcell_91703,train,pair_000_n3_000,pair_000,3,1,9,66,66
irregular_workcell_91703,train,pair_000_n5_000,pair_000,5,2,9,66,66
irregular_workcell_91703,train,pair_001_n3_001,pair_001,3,1,19,66,66
irregular_workcell_91703,train,pair_001_n5_001,pair_001,5,2,19,66,66
irregular_workcell_91703,train,pair_002_n3_002,pair_002,3,1,2,66,66
irregular_workcell_91703,train,pair_002_n5_002,pair_002,5,2,2,66,66
irregular_workcell_91703,train,pair_003_n3_003,pair_003,3,1,15,66,66
irregular_workcell_91703,train,pair_003_n5_003,pair_003,5,2,15,66,66
irregular_workcell_91703,train,pair_004_n3_004,pair_004,3,1,6,66,66
irregular_workcell_91703,train,pair_004_n5_004,pair_004,5,2,6,66,66
irregular_workcell_91703,train,pair_005_n3_005,pair_005,3,1,4,66,66
irregular_workcell_91703,train,pair_005_n5_005,pair_005,5,2,4,66,66
irregular_workcell_91703,train,pair_006_n3_006,pair_006,3,1,39,66,66
irregular_workcell_91703,train,pair_006_n5_006,pair_006,5,2,2,66,66
irregular_workcell_91703,train,pair_007_n3_007,pair_007,3,1,30,66,66
irregular_workcell_91703,train,pair_007_n5_007,pair_007,5,2,30,66,66
irregular_workcell_91703,train,pair_008_n3_008,pair_008,3,1,25,66,66
irregular_workcell_91703,train,pair_008_n5_008,pair_008,5,2,25,66,66
irregular_workcell_91703,train,pair_009_n3_009,pair_009,3,1,35,66,66
irregular_workcell_91703,train,pair_009_n5_009,pair_009,5,2,2,66,66
irregular_workcell_91703,train,pair_010_n3_010,pair_010,3,1,22,66,66
irregular_workcell_91703,train,pair_010_n5_010,pair_010,5,2,22,66,66
irregular_workcell_91703,train,pair_011_n3_011,pair_011,3,1,32,66,66
irregular_workcell_91703,train,pair_011_n5_011,pair_011,5,2,32,66,66
irregular_workcell_91703,train,pair_012_n3_012,pair_012,3,1,64,66,66
irregular_workcell_91703,train,pair_012_n5_012,pair_012,5,2,2,66,66
irregular_workcell_91703,train,pair_013_n3_013,pair_013,3,1,49,66,66
irregular_workcell_91703,train,pair_013_n5_013,pair_013,5,2,2,66,66
irregular_workcell_91703,train,pair_014_n3_014,pair_014,3,1,45,66,66
irregular_workcell_91703,train,pair_014_n5_014,pair_014,5,2,2,66,66
irregular_workcell_91703,train,pair_015_n3_015,pair_015,3,1,47,66,66
irregular_workcell_91703,train,pair_015_n5_015,pair_015,5,2,2,66,66
irregular_workcell_91703,train,pair_016_n3_016,pair_016,3,1,62,66,66
irregular_workcell_91703,train,pair_016_n5_016,pair_016,5,2,2,66,66
irregular_workcell_91703,train,pair_017_n3_017,pair_017,3,1,46,66,66
irregular_workcell_91703,train,pair_017_n5_017,pair_017,5,2,2,66,66
irregular_workcell_91703,validation,pair_018_n3_000,pair_018,3,1,9,66,66
irregular_workcell_91703,validation,pair_018_n5_000,pair_018,5,2,9,66,66
irregular_workcell_91703,validation,pair_019_n3_001,pair_019,3,1,19,66,66
irregular_workcell_91703,validation,pair_019_n5_001,pair_019,5,2,19,66,66
irregular_workcell_91703,validation,pair_020_n3_002,pair_020,3,1,39,66,66
irregular_workcell_91703,validation,pair_020_n5_002,pair_020,5,2,9,66,66
irregular_workcell_91703,validation,pair_021_n3_003,pair_021,3,1,30,66,66
irregular_workcell_91703,validation,pair_021_n5_003,pair_021,5,2,30,66,66
irregular_workcell_91703,validation,pair_022_n3_004,pair_022,3,1,64,66,66
irregular_workcell_91703,validation,pair_022_n5_004,pair_022,5,2,9,66,66
irregular_workcell_91703,validation,pair_023_n3_005,pair_023,3,1,49,66,66
irregular_workcell_91703,validation,pair_023_n5_005,pair_023,5,2,9,66,66
irregular_workcell_91703,test,pair_024_n1_000,pair_024,1,1,9,66,66
irregular_workcell_91703,test,pair_024_n3_000,pair_024,3,1,9,66,66
irregular_workcell_91703,test,pair_024_n5_000,pair_024,5,2,9,66,66
irregular_workcell_91703,test,pair_024_n7_000,pair_024,7,2,9,66,66
irregular_workcell_91703,test,pair_025_n1_001,pair_025,1,1,19,66,66
irregular_workcell_91703,test,pair_025_n3_001,pair_025,3,1,19,66,66
irregular_workcell_91703,test,pair_025_n5_001,pair_025,5,2,19,66,66
irregular_workcell_91703,test,pair_025_n7_001,pair_025,7,2,19,66,66
irregular_workcell_91703,test,pair_026_n1_002,pair_026,1,1,2,66,66
irregular_workcell_91703,test,pair_026_n3_002,pair_026,3,1,2,66,66
irregular_workcell_91703,test,pair_026_n5_002,pair_026,5,2,2,66,66
irregular_workcell_91703,test,pair_026_n7_002,pair_026,7,2,2,66,66
irregular_workcell_91703,test,pair_027_n1_003,pair_027,1,1,15,66,66
irregular_workcell_91703,test,pair_027_n3_003,pair_027,3,1,15,66,66
irregular_workcell_91703,test,pair_027_n5_003,pair_027,5,2,15,66,66
irregular_workcell_91703,test,pair_027_n7_003,pair_027,7,2,15,66,66
irregular_workcell_91703,test,pair_028_n1_004,pair_028,1,1,39,66,66
irregular_workcell_91703,test,pair_028_n3_004,pair_028,3,1,39,66,66
irregular_workcell_91703,test,pair_028_n5_004,pair_028,5,2,2,66,66
irregular_workcell_91703,test,pair_028_n7_004,pair_028,7,2,2,66,66
irregular_workcell_91703,test,pair_029_n1_005,pair_029,1,1,30,66,66
irregular_workcell_91703,test,pair_029_n3_005,pair_029,3,1,30,66,66
irregular_workcell_91703,test,pair_029_n5_005,pair_029,5,2,30,66,66
irregular_workcell_91703,test,pair_029_n7_005,pair_029,7,2,30,66,66
irregular_workcell_91703,test,pair_030_n1_006,pair_030,1,1,25,66,66
irregular_workcell_91703,test,pair_030_n3_006,pair_030,3,1,25,66,66
irregular_workcell_91703,test,pair_030_n5_006,pair_030,5,2,25,66,66
irregular_workcell_91703,test,pair_030_n7_006,pair_030,7,2,25,66,66
irregular_workcell_91703,test,pair_031_n1_007,pair_031,1,1,35,66,66
irregular_workcell_91703,test,pair_031_n3_007,pair_031,3,1,35,66,66
irregular_workcell_91703,test,pair_031_n5_007,pair_031,5,2,2,66,66
irregular_workcell_91703,test,pair_031_n7_007,pair_031,7,2,2,66,66
irregular_workcell_91703,test,pair_032_n1_008,pair_032,1,1,64,66,66
irregular_workcell_91703,test,pair_032_n3_008,pair_032,3,1,64,66,66
irregular_workcell_91703,test,pair_032_n5_008,pair_032,5,2,2,66,66
irregular_workcell_91703,test,pair_032_n7_008,pair_032,7,2,2,66,66
irregular_workcell_91703,test,pair_033_n1_009,pair_033,1,1,49,66,66
irregular_workcell_91703,test,pair_033_n3_009,pair_033,3,1,49,66,66
irregular_workcell_91703,test,pair_033_n5_009,pair_033,5,2,2,66,66
irregular_workcell_91703,test,pair_033_n7_009,pair_033,7,2,2,66,66
irregular_workcell_91703,test,pair_034_n1_010,pair_034,1,1,45,66,66
irregular_workcell_91703,test,pair_034_n3_010,pair_034,3,1,45,66,66
irregular_workcell_91703,test,pair_034_n5_010,pair_034,5,2,2,66,66
irregular_workcell_91703,test,pair_034_n7_010,pair_034,7,2,2,66,66
irregular_workcell_91703,test,pair_035_n1_011,pair_035,1,1,47,66,66
irregular_workcell_91703,test,pair_035_n3_011,pair_035,3,1,47,66,66
irregular_workcell_91703,test,pair_035_n5_011,pair_035,5,2,2,66,66
irregular_workcell_91703,test,pair_035_n7_011,pair_035,7,2,2,66,66
