map_id,split,pair_id,decision_step,decision_row,decision_column,progress_band,route_kind,route_length
irregular_workcell_91702,test,pair_027,17,12,11,early,straight,5
irregular_workcell_91702,test,pair_028,38,21,23,middle,straight,5
irregular_workcell_91702,test,pair_029,32,17,21,middle,turning,4
irregular_workcell_91702,test,pair_030,24,14,16,middle,turning,4
irregular_workcell_91702,test,pair_031,35,19,22,middle,turning,5
irregular_workcell_91702,test,pair_032,64,35,35,late,turning,4
irregular_workcell_91702,test,pair_033,51,28,29,late,straight,5
irregular_workcell_91702,test,pair_034,45,27,24,late,turning,4
irregular_workcell_91702,test,pair_035,57,30,33,late,turning,4
irregular_workcell_91703,train,pair_000,9,7,8,early,turning,4
irregular_workcell_91703,train,pair_001,19,11,14,early,turning,4
irregular_workcell_91703,train,pair_002,2,4,4,early,straight,5
irregular_workcell_91703,train,pair_003,15,10,11,early,turning,4
irregular_workcell_91703,train,pair_004,6,6,6,early,turning,4
irregular_workcell_91703,train,pair_005,4,6,4,early,turning,5
irregular_workcell_91703,train,pair_006,39,26,19,middle,straight,5
irregular_workcell_91703,train,pair_007,30,20,16,middle,turning,4
irregular_workcell_91703,train,pair_008,25,16,15,middle,turning,4
irregular_workcell_91703,train,pair_009,35,24,17,middle,turning,4
irregular_workcell_91703,train,pair_010,22,13,15,middle,straight,5
irregular_workcell_91703,train,pair_011,32,22,16,middle,turning,4
irregular_workcell_91703,train,pair_012,64,34,36,late,straight,5
irregular_workcell_91703,train,pair_013,49,27,28,late,turning,4
irregular_workcell_91703,train,pair_014,45,26,25,late,straight,5
irregular_workcell_91703,train,pair_015,47,26,27,late,turning,4
irregular_workcell_91703,train,pair_016,62,34,34,late,straight,5
irregular_workcell_91703,train,pair_017,46,26,26,late,turning,4
irregular_workcell_91703,validation,pair_018,9,7,8,early,turning,4
irregular_workcell_91703,validation,pair_019,19,11,14,early,turning,4
irregular_workcell_91703,validation,pair_020,39,26,19,middle,straight,5
irregular_workcell_91703,validation,pair_021,30,20,16,middle,straight,5
irregular_workcell_91703,validation,pair_022,64,34,36,late,straight,5
irregular_workcell_91703,validation,pair_023,49,27,28,late,turning,4
irregular_workcell_91703,test,pair_024,9,7,8,early,turning,4
irregular_workcell_91703,test,pair_025,19,11,14,early,turning,4
irregular_workcell_91703,test,pair_026,2,4,4,early,turning,4
irregular_workcell_91703,test,pair_027,15,10,11,early,turning,4
irregular_workcell_91703,test,pair_028,39,26,19,middle,turning,4
irregular_workcell_91703,test,pair_029,30,20,16,middle,straight,5
irregular_workcell_91703,test,pair_030,25,16,15,middle,turning,4
irregular_workcell_91703,test,pair_031,35,24,17,middle,turning,4
irregular_workcell_91703,test,pair_032,64,34,36,late,turning,4
irregular_workcell_91703,test,pair_033,49,27,28,late,turning,4
irregular_workcell_91703,test,pair_034,45,26,25,late,turning,5
irregular_workcell_91703,test,pair_035,47,26,27,late,turning,4
