path,bytes,sha256
01_2026-09-17_to_21_replay_baselines\dataset\manifest.json,3078787,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_0\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_0\foundation_evaluation.csv,252,20f0e5f767a6380ec9237c3e58fec5cd267e47999488029c62e6b8ea006d936a
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_0\foundation_status.json,933,0038cdb54a3d6fdcd8d3d46f84a5d793cd5ab9c6382233a82f7c7065d9fcf6dd
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_0\training.csv,28602,ab5173f66d19bf58ba550ebd292a83628bcfb92c460f94061ef165dacc2741ed
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_1\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_1\foundation_evaluation.csv,274,8d85e863f762f528c060175a95591ca3cf6a9389a0605b4abdaf6f72b9bfed0c
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_1\foundation_status.json,934,0276b7a99b860b790cba7274c25ea6565be4935276a6b0724f25331d4d8e860e
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_1\training.csv,33258,ca7e9970a9cb7bed26c6e78befec52bc09d47d24764961795d6cf826d561024d
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_2\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_2\foundation_evaluation.csv,296,c47531f70d6c18147bf5a3dd0778bd27e8e2d8d8c5bcead3a246e5b1a1be97fc
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_2\foundation_status.json,933,6f9d382b443a8010aacd7ac868be27065c95eed9818388af9c05b67ab995a6d7
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_2\training.csv,39967,d7d42aa8b7be7115a77a6ef8a1f718bb949f035d7c45a8f7f77f98080b561015
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_3\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_3\foundation_evaluation.csv,231,629514c02c91b788c282de5224e2fad47965a51b26d62a4c0c08f887d1a3cf04
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_3\foundation_status.json,934,043835ec7ed314eed5a5dc3b32e968b9c11bebefb1e1bfa14de8c3f33c23485b
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_3\training.csv,24333,c8b7d4b44a21922c5fdf4b9a86bcd26d8429a4b7b881ad55f71a77df121733ac
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_4\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_4\foundation_evaluation.csv,296,c47531f70d6c18147bf5a3dd0778bd27e8e2d8d8c5bcead3a246e5b1a1be97fc
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_4\foundation_status.json,934,966c2a886aa4d946ccb0e4a9380db3f9ec44ee6cc260f6074479ade70963cb21
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91701\seed_4\training.csv,39173,8f470fd3b32846f8cc009987be864a7199bbde3cdb4c95d1905129b2230f7970
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_0\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_0\foundation_evaluation.csv,252,62d5a957d2a78dda40184ee0bbf3eb99f2351ccf6a8b9018b9b537255560fb50
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_0\foundation_status.json,933,16846ad51f5b054a1fd2bbed0e047fb6a89761dd15597625df66502fb73fee1d
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_0\training.csv,28837,26cdf78b0c88bc6fe73b15419c383ca1806de069488ca9094da6f6225b9cfb73
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_1\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_1\foundation_evaluation.csv,210,f8330c5a09c9b006bfdc8c4c3df2a7d8a737ab53a3160011d087468892479586
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_1\foundation_status.json,933,51d2987bf4753167ae509650ce22c7d2f3d7879c3afb1751c397f374e34b4002
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_1\training.csv,20693,504e448728f795e5bd82d304a9dda27be67935b03717c8cd1d79ce59d071a4ee
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_2\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_2\foundation_evaluation.csv,210,e833bf1cf5320a9338aba60c29efb6f6f97fb84523bee7a057ef233803774f9e
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_2\foundation_status.json,934,34ee59826a5381a2b843ef15e76248628c14aead040929b2e45845305762e074
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_2\training.csv,20901,ec80690dd2b41fd1efb845b5223dda16e24c524f3beaf20a262ecf6e99e5fd85
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_3\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_3\foundation_evaluation.csv,272,e6d19e127b5eaf92919c0948a05697b8125f4fd9979c38b4f9bf3a19605d3a6a
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_3\foundation_status.json,934,e7a34a85bc0d99f769469da55ceff58fef1498e0331166bf54f484381abb4e97
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_3\training.csv,34667,cad6abefdc6206dc72a8a8ee241d094f79f0521afa65bd875fe6287406c64094
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_4\effective_config.json,1493,54b52bddab7e27a3fbdd64cea59af5018254c3ce2adb7420c8f57c1fdc5e3f6f
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_4\foundation_evaluation.csv,189,a20896e10d726387a2f74da041f375968cc52338c43d49cc4791be97f5210fe1
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_4\foundation_status.json,933,07c3dcfaec7fc6c641a93be23763b15c225a5b2e4e845d35b2be626fb6a41712
01_2026-09-17_to_21_replay_baselines\foundations\irregular_workcell_91702\seed_4\training.csv,17610,447bd639d8afd932b8aae577c02f3eb608f8519a64ff985b9a63d16660652f6a
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_0\fork_audit.json,424,4ff1a050df83991d4b2fde7fbd21839d984de9f4f9798c0428593ae104aa2401
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_0\result.json,2583,f78265c4c12fb22951c5a99933569b308c6270d052be27fb18065d2c282910ae
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_0\test_evaluation.csv,2240,73c01d5daaad0fe4e0ce75aee170551bade727a99faabf0cdea0a66219af79f6
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_0\training.csv,267794,57f7b157c57c70cd3d0783b5d16e81a88006c475950edb7a9ed3617501bd8d3f
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_0\validation_curve.csv,6902,e5c4aa88e723e5ba9277961dc53d1abc453c9bef75efd107fac66bc3e9ee5839
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_0\validation_details.csv,24066,5783b3962bafd343d03c75bd93ec0c12794ca85a8325542c7aedecee6aeedf31
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_1\fork_audit.json,424,3832a20ab1743053544a5e59bbd8e413b3a3933b7b0e9e9ffd3166cd815a3b74
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_1\result.json,2584,efbb90c07617372d558457868f5fc4ac0471d5946c11426d64775e0110b29395
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_1\test_evaluation.csv,2267,c145da26c6095d2f540bad26e056d1accd9fd23e0a3d52e7eeb8fe640a0f1be3
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_1\training.csv,272921,7a69d56fef7a4083a24106e10c50e5742a46ecfb8a6625d20a1bfd5dad53b5fc
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_1\validation_curve.csv,5771,ec836fdb410384ddeb2baab7a552336de13beeb3dbca07f50e25d06163daf796
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_1\validation_details.csv,24177,38ea1a4088e003106f40f9ef72062796a5b043b56fb0943c8d086c4bff58e98c
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_2\fork_audit.json,424,e0e0073975ed282b01b6c55cc471c13d0541a0fd32359684ae44aa7e5e86f066
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_2\result.json,2524,9fe43e85b092657f0c1b4709340f43a1bb41c2d16c94d8eda526c29ff9847edf
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_2\test_evaluation.csv,2276,70ec1af3b9546f18591f2044d282dec20183c9e93f6efdba09befbbc48c95a9a
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_2\training.csv,264868,bb1d7bebcb1f14f8eb684fd29559245b7a63e18222a30cfec19c93b65bc4e966
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_2\validation_curve.csv,5577,9905c90326a8113384a78f3de8ba6182cae45ef2cef46fd4db11fc817b1d0178
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_2\validation_details.csv,24233,53d71cacf4d05637612a600908067d5be290a8f1c383f4aedc87a8dd98be7e1c
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_3\fork_audit.json,424,c7acf19d2267eac9ca7b8af9a49d48b1c7b45923a7d47f55947da6a766e19c49
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_3\result.json,2731,6a5d69e8d501b035bf829196253991ddd91ddd18bd39dd7c0280587188fc782b
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_3\test_evaluation.csv,2228,e2cf063ce16a02c7e0e59aac8251b60da52da55e15a5ae1d3720e7f4c6205f51
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_3\training.csv,269219,b31535c71b88a1cfecf32b32f9bb266782099b41aa265aa06ee1738e7313537d
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_3\validation_curve.csv,6503,3633fa2864a8b22dd310a52381c47e2441ebf46771818bddff1b33803ae89c09
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_3\validation_details.csv,24051,67cd05f7c90e1040748bc119efcf00e3acbf0e4b07093d9cd63b5cb67e03b517
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_4\fork_audit.json,424,f62315fe1722068f8fd75248b7fe4b3760f1af04d5015400e963b0a4f0273821
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_4\result.json,2740,b45e502923d19f3dceb4921fbc584503565bf4e2c3d8e5c17863e1f4b6be59ea
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_4\test_evaluation.csv,2253,35d33007178be422acde92c99a72876ec6a0f80fe400723f84f33e2c01082100
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_4\training.csv,273488,e41a77594aaf8a5ccc7b0c76b5f6d680a408708baea20b2babc05a6b57839e7f
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_4\validation_curve.csv,5845,cfa86358a5551fa1ef53ec83ca599b03204b2f2baa1facf2579c2a80495b2ac4
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_00\seed_4\validation_details.csv,24210,6138e263665c7a480ddac90646b629f3fc0344f25ffa5e0cdb19f30ccf6c3985
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_0\fork_audit.json,428,19877a4f472ca88d223e8c1cf0281952ea70ea510e840a6376ce0715d6a69897
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_0\result.json,2659,d295a06c6172903efb29d424a5fcccfe6de613464475fca988b1d0864a76c2f1
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_0\test_evaluation.csv,2249,e2efe0dff6a3b513ceb92917b40bd29496ad29041080d87963018cc460c02732
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_0\training.csv,275902,e07bafd2e0ac7a20c2bc3e499961d483a017c3f553d3f1eab52a20c7f32f97d9
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_0\validation_curve.csv,6579,39e1f2ecc7898fcd43daf3bcca473d022c485905dca06cc59d6faddbbdb53e9a
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_0\validation_details.csv,24015,eac0e5fc8baf4aa3233383f1de1745bf8f032955a6ea393b3bf1a57c2938be18
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_1\fork_audit.json,428,d30af85d33beae756ca95e76d8dfcf90b69f154663b1ac2446487a5d330ba3d3
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_1\result.json,2638,59b7cd792a38925f18dc66a496cc9180b385f5ff6d839be7076ff92f27dc3162
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_1\test_evaluation.csv,2242,83d6eea8f75f9c9d0e993658b54e75013ac32fbe16696b0386e4c4d621e54c34
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_1\training.csv,290128,ddbaf428551fd99771c609bab1bbf78190eaf919248d76948a75967a1f15da81
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_1\validation_curve.csv,5815,978bf1bb7cfeeffa465a2b2dbddf1bd9d2e1cf91da1f5a06959c1617f6019e41
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_1\validation_details.csv,24084,4b5abb6bbb6812f8b46cabc9472d31ad1386344f6f7c60a44181da8e309e0b87
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_2\fork_audit.json,428,76eedb68a8e93f4157052b2dc219e0f31f704832cac61275c6fdc611ba5e9ee0
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_2\result.json,2589,b9e1d3012c84b4629b07f1161b24f9b9da5b56e219c4c19c7fed0c2742df7446
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_2\test_evaluation.csv,2253,f453bbd68ab425a8297bf62499ec9bcab6de75afb11b4e56bf28295402177fe7
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_2\training.csv,284368,40d2c54ae54ea28360249daec2cf5239a75652bc329e25ad8df83c3141edf5fb
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_2\validation_curve.csv,5948,8f5086a19cb0bc12d0291896ca483506dc296f295ab33e815e50c6e95b3ac880
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_2\validation_details.csv,24194,ccb7b6078b85648f73b09e2540f8433851940901591801f6fc3b86d0b312eb6d
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_3\fork_audit.json,428,628be32a0f0fccbe04304ec35d14db324133beae4150071ba2ec3a994b3cd8df
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_3\result.json,2564,4e92f10c6ff64ac9e18571623a3c1109179f0a976c713215660af1c9b1e452f9
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_3\test_evaluation.csv,2249,664f8cad33ac4ef2ac1cfa290439c2d6cf4b2c6a9abd3fa56313cb563ca7730d
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_3\training.csv,255582,77878da0731b9baf7b28533db257fda51d1bcf69e6eb969a87352e7e9e3a50d0
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_3\validation_curve.csv,6676,b971d55cfba31fad0665a4a6d019c5d959d13114aa9967e90e5dce66cd79ff85
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_3\validation_details.csv,24204,7be02782d23f5f8ef3086a8adfdd90a3b6565aed399d41b1762ddaaf2b55a235
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_4\fork_audit.json,428,2955651b7b6f3e1c3ae7acb68caf02b3c1788a2373f5170f82fddeb10f585340
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_4\result.json,2526,91a16ac5724895c9d8e7293bcc3422c183a3f69d307e9d5783d67ebe31334838
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_4\test_evaluation.csv,2248,9509037a48f81041c4c58be0f45431badcdb587527e3b745d3e270bfff6da54a
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_4\training.csv,286596,20682ae5f6a9bdf6412ce30e098d9c2cb55d7e9ca63f4a02ebb645e19585d4c8
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_4\validation_curve.csv,5020,993a0e51c0a36ece3bb7209fed74c72be767ccc2dc1bc57531a8741f04892690
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_10\seed_4\validation_details.csv,24193,2afe9ad6affc788231071c14de7d3ee107c430df5b464f2d45a01fe41225d034
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_0\fork_audit.json,427,614b0f477afeb70963dbfeb9cc508c350049653ae8183a0e0d6393782513bf07
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_0\result.json,2720,8431a430f03fb5d689cc862d4f29a364e2547c70b18e30555b408406beda6fb0
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_0\test_evaluation.csv,2259,547a94f8e8170457d52015e4c21bec53191c80d463d25ff9f182560107f0127d
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_0\training.csv,283209,e709a68ecf9418cc32de3ead7d6182d8cd1fef3e0cb0757375301708d1bee802
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_0\validation_curve.csv,6889,aa6cc72ee80b71e5eb1e075087947c3b3582c2c7e5d6d37b311e94787473296b
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_0\validation_details.csv,23989,a93f08889547b4535c7d0d16049e854da5c6189f4d158ca51a83fbd88c444412
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_1\fork_audit.json,427,1fd463f56edba18b1ac9cf057d781c457b691d7a73db9c55fb3427a1e72899ce
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_1\result.json,2639,0c1d3590f32626150cd05df4d21e062126ab8d854b15e125730ef34411afc53e
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_1\test_evaluation.csv,2227,4e1b1b138814b9ff44c390d94e359ecb63043a624edb0dbcc9849f8bba9be0d7
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_1\training.csv,289292,e00fd6bbb13254267f94716c8c20fb96920127b6eb82a1731b13c1d7e7a27945
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_1\validation_curve.csv,7040,a0479dc6f6cc1a3cdb5c32a763f960565c3a4fc19316f34ad9c96da836f6ac5f
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_1\validation_details.csv,24041,924b8e385a0807afbad4cad21798fa99a645a07cacef8d08511dbaf812f6fb7b
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_2\fork_audit.json,427,fdc30b615774dba042e581d0f322dbfade11944d497bf09ca765795a4dff9c22
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_2\result.json,2517,bbbab46956adb234106ac67256cab36427f3328f51ad3b547f412382de48ba86
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_2\test_evaluation.csv,2259,84008bc1b1c9fcb74b45b70a6b851cfb8cae5fcf4c972f044f28d662f7704dfc
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_2\training.csv,287665,eb62e2ab1c82d594c2434bd13e901f2b9c2636eb16d197a7d6370183b5a41a13
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_2\validation_curve.csv,6415,b31f1c5604414e2846e89c3d95b168d0bd5c0914e43efba1d1969f129fed0d84
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_2\validation_details.csv,24174,877848999aefdb572cf898c9854581bbcb4a91b6e7b9bb3be7dcd63ea54c7cce
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_3\fork_audit.json,427,728c9e7eb6cf611e913a320cbdf349bb54f01690391ae0fdf88ab3b701e5e333
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_3\result.json,2558,22b14ab98a3b03fbd8a17d96140ec21e1efff7b4b3d3220165b27ece53991117
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_3\test_evaluation.csv,2244,83f7cbc0e0c8fa5027f8960ee7f43d1b05925133e459da0a22a0f7fd13a7ee45
01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\fixed_25\seed_3\training.csv,282178,d7890952d5e24571afbd9fcb5f8bbb065f2b85d3a57025911d8e851fb56fb753
